city,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
泰安,96,63,140,1.05,47,54,33,27
太仓,83,61,109,0.85,45,73,62,20
太原,110,82,145,1.5,66,49,27,70
台州,104,77,131,0.8,27,110,79,9
泰州,63,37,74,0.65,30,84,51,12
唐山,60,24,67,0.47,18,61,41,7
天津,65,46,77,1.18,49,57,35,23
天水,69,49,65,1.25,28,81,54,17
铁岭,68,43,83,0.63,29,62,48,16
铜川,54,28,56,0.98,28,90,65,11
通化,63,28,74,0.4,23,61,42,11
通辽,45,18,44,0.23,13,62,58,9
铜陵,122,92,123,1.0,24,107,67,19
铜仁地区,54,33,55,1.2,19,92,49,4
吐鲁番地区,106,79,154,1.45,28,60,32,42
瓦房店,25,14,24,0.5,27,66,42,31
潍坊,86,42,119,1.0,46,63,44,36
威海,82,60,107,0.97,70,73,65,23
渭南,93,69,105,0.93,38,67,31,15
文登,63,40,73,1.35,43,81,68,21
文山州,23,11,22,0.95,13,36,35,3
温州,63,44,70,0.53,20,97,70,8
乌海,30,16,24,0.4,8,95,50,12
武汉,115,86,112,0.68,34,92,62,12
芜湖,144,110,158,1.0,42,99,67,19
吴江,87,55,121,0.77,31,101,76,15
五家渠,143,109,145,1.8,63,0,15,10
乌兰察布,43,29,42,0.4,22,60,35,26
乌鲁木齐,61,43,59,1.21,45,56,26,10
武威,49,19,48,0.7,0,89,54,42
无锡,72,40,91,0.96,33,77,54,40
吴忠,55,28,57,0.5,19,75,41,24
梧州,69,49,67,1.1,20,107,71,14
厦门,59,37,66,1.0,16,110,63,6
西安,88,65,105,0.95,81,51,31,13
湘潭,100,75,109,1.57,49,92,55,35
湘西州,88,65,77,0.3,15,78,37,3
襄阳,69,47,85,0.73,23,90,59,13
咸宁,49,34,17,0.48,12,109,77,6
咸阳,75,54,87,0.88,42,77,47,9
孝感,114,85,117,0.95,7,92,62,11
锡林郭勒盟,40,8,39,0.15,5,75,62,33
兴安盟,52,21,52,0.1,5,80,67,3
邢台,63,33,73,0.8,43,71,39,25
西宁,50,35,45,1.4,36,77,54,18
新乡,50,14,49,0.77,32,66,50,22
信阳,48,30,47,0.45,15,118,81,8
新余,96,71,113,1.18,32,110,70,29
忻州,53,23,53,0.63,25,73,38,23
西双版纳州,27,12,26,0.5,7,84,41,5
宣城,86,63,74,0.7,19,123,103,10
许昌,39,15,38,0.63,13,103,73,7
徐州,73,39,94,0.68,31,59,41,16
雅安,61,43,51,0.75,16,53,36,5
延安,28,14,27,0.7,36,72,40,12
延边州,54,11,55,0.53,16,69,44,10
盐城,76,49,100,0.64,20,71,61,15
阳江,59,41,61,1.07,12,123,78,6
阳泉,57,23,61,0.6,26,72,62,33
扬州,73,45,94,0.52,26,83,61,9
烟台,85,53,117,0.83,37,69,53,26
宜宾,55,38,54,0.55,23,85,39,13
宜昌,48,30,47,0.75,24,85,40,6
宜春,65,46,70,0.6,18,91,64,13
伊春,65,41,78,0.55,21,56,38,13
伊犁哈萨克,0,0,0,0.0,0,0,0,0
伊犁哈萨克州,82,60,70,1.3,26,65,39,27
银川,64,39,75,1.06,32,65,46,37
营口,75,54,95,1.2,52,37,34,24
鹰潭,81,59,66,0.46,23,139,78,12
义乌,46,32,0,1.1,45,123,73,0
宜兴,125,94,106,1.3,24,81,62,17
益阳,110,82,113,1.34,22,124,63,8
永州,86,63,77,0.6,32,121,68,14
岳阳,76,55,89,1.03,27,96,66,6
玉林,69,49,68,1.05,11,115,82,8
榆林,62,31,71,1.23,72,37,22,31
运城,91,67,101,0.95,20,101,54,27
云浮,48,28,47,0.77,20,102,72,22
玉树州,23,4,10,0.4,2,71,44,2
玉溪,31,17,30,0.63,12,64,36,9
枣庄,84,52,115,0.78,35,67,46,21
张家港,88,44,123,0.95,58,54,47,16
张家界,40,21,39,0.5,12,105,78,3
张家口,56,11,59,0.58,13,75,58,13
章丘,81,35,109,0.6,26,67,56,27
张掖,48,33,45,0.7,15,97,58,16
漳州,42,19,41,0.87,12,109,75,4
湛江,78,57,67,1.22,25,132,82,12
肇庆,60,42,61,0.63,25,119,80,8
昭通,30,15,20,0.9,15,72,59,18
招远,71,46,90,1.3,54,76,56,32
郑州,59,27,66,0.51,32,74,64,13
镇江,87,64,95,0.68,41,90,53,13
中山,80,58,73,0.83,33,141,93,10
中卫,64,45,64,0.8,25,67,38,29
周口,54,23,56,0.43,18,92,64,9
舟山,89,66,98,0.8,28,86,65,7
珠海,91,67,89,0.9,17,159,94,9
诸暨,125,94,115,1.2,25,135,75,9
驻马店,40,21,37,0.27,16,101,78,6
株洲,103,76,111,0.86,32,111,61,18
淄博,72,39,92,0.74,30,64,48,24
自贡,87,64,85,0.7,13,88,42,8
资阳,63,44,65,0.63,20,113,53,10
遵义,51,32,50,0.5,24,58,29,15
